frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.52226833648852,0.8652371244114363,0.8808188922867822,0.517086549196641,0.8578103004708509,0.8763894956555507
10,0.5719785575048733,0.9049707602339181,0.9123781676413255,0.5809454191033139,0.9036793372319688,0.9089424951267057
20,0.5776676456191875,0.9093367596671561,0.9142315222711699,0.5875428291727851,0.9076358296622614,0.912151248164464
40,0.5895061728395061,0.9075308641975308,0.9171851851851852,0.5848888888888889,0.8973703703703704,0.9071604938271605
80,0.6082704876822523,0.9163273001508295,0.9208898944193061,0.600603318250377,0.9039467068878834,0.9106460532931121
160,0.6418101199791341,0.9306207616066771,0.9343244653103808,0.6348982785602504,0.9187402190923317,0.9238262910798122
320,0.6797659334461364,0.9426536943034405,0.9461082910321489,0.6713620981387479,0.9406796390298928,0.9391426959954878
640,0.7031481481481482,0.9295117845117845,0.9303030303030303,0.7192929292929293,0.9273737373737374,0.9234175084175085
1280,0.6842134213421343,0.9096809680968097,0.9320407040704071,0.6522552255225522,0.9178767876787679,0.9191969196919691
