frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.36932135424597734,0.7447210801482158,0.7838561494340389,0.3372671437998071,0.7108395512918126,0.7565605806811837
10,0.43132008154943935,0.7799311926605504,0.8060779816513761,0.415519877675841,0.7764398572884812,0.804829255861366
20,0.422363031233999,0.7810803891449053,0.8061059907834102,0.42023809523809524,0.7758960573476702,0.8023169482846902
40,0.4352583979328165,0.797467700258398,0.8147545219638243,0.4266537467700258,0.7908268733850129,0.8102325581395349
80,0.45978146392838337,0.8156529752501317,0.8280542390731964,0.4523959978936282,0.808320168509742,0.8243680884676146
160,0.4734537493158183,0.8203338806787083,0.8315407772304324,0.4690339354132458,0.8108648056923919,0.8246715927750411
320,0.48462566844919786,0.8580808080808081,0.8611705288175876,0.48838383838383836,0.8500445632798574,0.857961972667855
640,0.4878853046594982,0.8563799283154122,0.8669354838709677,0.496415770609319,0.8588888888888889,0.8711469534050179
1280,0.500976800976801,0.8350732600732601,0.8000915750915751,0.48324175824175825,0.8039072039072039,0.7931013431013431
