frames,XGB 4,XGB 2,RF 4,RF 2
0,0.00235343163068276,-8.337721607868757e-06,0.001889152185360717,2.6768474635781767e-05
1,0.00019440056169908921,0.0,0.0004998244690187799,7.767245918903949e-05
2,0.0005959276812356861,7.24065297524797e-05,0.0003282429348780092,-2.0186062840103305e-05
3,0.00012418816921181777,-7.460066701788411e-06,0.0015148323679129365,0.0002804107424960622
4,0.007435492364402259,0.0006683342109882159,0.003181060207126559,0.0005261541162015178
5,0.0081327891872915,0.0024776197998946574,-3.335088643145282e-05,-8.425487098471981e-05
6,0.0007367912936632858,0.0,0.0005691592065999562,3.817798841497244e-05
7,0.0009544497103738281,0.0015310689836755967,0.0010277338950324788,0.0003457960329998307
8,0.0008723889766543295,-0.0002101983500087982,0.005087326663156051,-8.337721607857656e-06
9,-1.3164823591852818e-06,0.0,0.00044540986484115455,-2.0186062840094056e-05
10,0.001531507811128611,-0.00048446550816221473,0.0010435316833421026,2.6768474635785466e-05
11,-3.510619624369123e-05,-2.6329647182752696e-05,0.0023534316306828193,-8.644900824994103e-05
12,0.00917500438827448,0.0,0.005548095488853777,-8.33772160786302e-05
13,0.0026513954713006365,6.889591012812132e-05,0.0009895559066175194,-3.642267860276549e-05
14,-0.00032297700544151595,0.0,7.723363173599563e-05,-3.0717921713145174e-06
15,0.00011979989468136794,-0.0004528699315429374,-3.1156749166220506e-05,-8.557135334386068e-05
16,0.013885817096717516,0.0,0.0023341232227488073,4.914867474110444e-05
17,5.441460417758096e-05,-9.741969457610819e-05,1.8869580480958733e-05,-4.695453747585177e-05
18,-0.00025715288748469806,-7.460066701777309e-06,0.0002431104089871868,-1.2287168685280274e-05
19,0.0024776197998946257,-0.00045857468843253185,0.0010523082324030246,-0.00014130243988063062
20,3.5106196243213833e-06,0.0,6.58241179568216e-06,4.827101983502965e-06
21,3.0279094260073545e-05,0.0,-8.776549060840466e-07,-3.0717921713200684e-06
22,0.0010351939617341932,0.0,0.0009447955064068924,2.2380200105333778e-05
23,0.0014533965244865313,-0.00010663507109007023,0.0015714411093558053,0.00011585044760401194
24,-0.0006547305599438835,-7.9427769001252e-05,0.0010720554677900599,0.001053185887309116
25,0.003758557135334332,8.776549060655429e-07,0.0007802352115148422,2.0186062840101456e-05
26,0.00047788309636645303,2.6329647182695335e-05,0.008084079340003514,-0.00010575741618395288
27,-0.0009066175179919811,-4.3882745304720435e-06,0.0017158153414077596,-7.679480428294805e-05
28,-0.00017289801649997087,0.0,0.0005674038967877807,1.5797788309646067e-05
29,-9.65420396700519e-05,0.0,0.002176145339652443,-4.914867474108224e-05
30,0.06673951202387216,-0.0008223626470072169,0.01609224153063015,-0.0007262594347902311
31,0.016342812006319058,0.037472792697911164,0.0035334386519220717,0.0016605230823240355
32,0.1366732490784623,0.16637484641039138,0.000800860101807969,0.0006187467087941046
33,0.00018650166754426988,8.776549060884874e-06,0.00027690012287168533,0.00012462699666491718
34,0.00022204669124094024,0.0005744251360364994,0.00023082324030191393,6.538529050378143e-05
35,0.0008710724942951923,-0.00017948042829561602,0.002478497454800769,-3.949447077402265e-06
36,0.002296822889239902,0.0,0.0017974372476742089,4.037212568019181e-05
37,0.0015051781639458862,0.0,0.000875899596278736,6.319115323855651e-05
38,0.0017351237493417049,0.0,0.006100579252238021,-0.00019220642443390685
39,0.24619141653501836,-0.0006187467087941268,0.0529168860803932,-0.00034930665262417987
40,0.004311040898718573,0.0002150254519922549,0.006799631384939442,0.000288309636650876
41,-0.0012484641039143892,-2.1941372652304707e-06,0.0004669124100403691,-3.949447077411517e-06
42,0.029894681411269036,0.00015490609092502216,0.005907056345444969,0.00010444093382483051
43,0.00020229945585391226,-3.5106196243805956e-06,0.0003655432683868624,1.8503717077085942e-18
44,0.0004440933824819508,6.714060031593287e-05,0.00014700719677022874,0.00034316306828155636
45,-0.0001566614007372902,0.0,0.0005072845357205535,0.00013472002808497067
46,0.004921011058451756,0.0,0.0008798490433561512,6.275232578550708e-05
47,6.933473758113928e-05,0.0,0.0008210461646480612,-3.0717921713176626e-05
48,0.0001061962436369505,-6.143584342640137e-06,0.0007183605406354173,2.7646129541876916e-05
49,0.0,0.0,0.0007885729331226998,0.00010049148674742639
50,0.0017250307179216494,0.0,0.0002453045462524228,-1.7991925574869137e-05
51,-0.0009794628751975231,0.0,-0.0015394067052834747,-1.097068632614125e-05
52,0.00031068983675612837,0.0,0.0014709496226083937,-4.388274530438737e-07
53,0.040365982095839865,0.0,0.015641126908899423,5.265929436548689e-06
54,0.0026448130595049433,-2.1063717746194755e-05,0.0008605406354221578,7.898894154823034e-06
