frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.39171869448251356,0.7775874321100452,0.794908887873712,0.3807294045987513,0.7589589360946145,0.786939749251307
10,0.4655453618756371,0.8204383282364933,0.8295744138634047,0.46061416921508663,0.8168960244648318,0.8327089704383283
20,0.4701484895033282,0.8302099334357399,0.8362007168458782,0.4645801331285202,0.8248847926267281,0.8401689708141321
40,0.5061111111111111,0.865374677002584,0.867390180878553,0.4867312661498708,0.856640826873385,0.8620025839793282
80,0.5350710900473934,0.8810426540284361,0.8836492890995261,0.5165876777251185,0.8748815165876778,0.8764349657714586
160,0.5534345922276956,0.8852764094143405,0.8893404488232074,0.533223864258347,0.8751231527093596,0.8801313628899836
320,0.5362893642305407,0.8824866310160427,0.8914587046939988,0.5245989304812835,0.8719845513963161,0.8728758169934641
640,0.5129749103942652,0.866021505376344,0.8866487455197133,0.4839426523297491,0.8562365591397849,0.8738709677419355
1280,0.4342796092796093,0.8551892551892551,0.8536935286935287,0.46562881562881564,0.8680708180708181,0.8625152625152626
