frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.3658074850735401,0.7456070093684772,0.7857021503810495,0.336027377311781,0.7096014756565215,0.7562739672831416
10,0.42966617933723195,0.7785453216374268,0.8073221247563352,0.4157285575048733,0.7745735867446394,0.8047149122807018
20,0.42309104258443464,0.7795888399412628,0.806412139011258,0.4190039158100832,0.7747797356828194,0.8023861967694567
40,0.43503703703703706,0.7917901234567901,0.8128271604938272,0.4271358024691358,0.7886543209876543,0.8078271604938272
80,0.46656611362493716,0.8154348919054801,0.8292232277526396,0.4543614881850176,0.8054675716440423,0.8220965309200603
160,0.4791079812206573,0.8187010954616588,0.8312206572769953,0.47556077203964525,0.810680751173709,0.827073552425665
320,0.48391144952058657,0.8566130851663847,0.859785673998872,0.4858009024252679,0.8526649746192894,0.8615341229554427
640,0.4975925925925926,0.868973063973064,0.8708249158249158,0.49387205387205385,0.8554882154882155,0.8725084175084175
1280,0.4872937293729373,0.844004400440044,0.8158140814081408,0.50005500550055,0.8411166116611661,0.8267326732673267
