frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.5256176884617252,0.8750546089995631,0.88700791223727,0.5159700985389059,0.8590966457938936,0.8724697830202417
10,0.5876583820662769,0.9188474658869396,0.9229410331384016,0.5854775828460039,0.9111476608187135,0.9159478557504873
20,0.5977484092021537,0.922491434165443,0.929307391091532,0.591079295154185,0.915712187958884,0.9184654919236417
40,0.6152098765432099,0.9306913580246914,0.9331728395061728,0.6012592592592593,0.9194197530864198,0.9212592592592592
80,0.6362242332830568,0.9342006033182504,0.9386249371543489,0.6262694821518351,0.9341000502765209,0.9333207642031172
160,0.6651147626499739,0.9375717266562337,0.9451095461658842,0.6521778821074595,0.9348330725091288,0.9418622848200313
320,0.6455724760293288,0.9142272983643542,0.9263959390862944,0.6640298928369994,0.9230400451212634,0.9315707839819515
640,0.6705892255892256,0.9060942760942761,0.9113973063973064,0.7045959595959596,0.9172558922558922,0.9199158249158249
1280,0.7007975797579759,0.9278052805280528,0.9267601760176017,0.7074532453245325,0.935973597359736,0.9322607260726072
