frames,XGB 4,XGB 2,RF 4,RF 2
0,0.007811567491662222,0.00982095839915744,0.005607337195014935,0.0038779182025627614
1,-0.0011887835703002225,0.00020756538529049796,-0.0003642267860277289,0.0014380375636299902
2,-0.0010435316833421618,0.00016104967526767527,-0.00012331051430576335,0.00022248551869405442
3,0.17028962611900997,0.13478804634017905,0.10327145866245394,0.06988502720730211
4,0.021275671406003116,0.0006876426189222314,0.015336141829032835,0.009609004739336503
5,0.042576794804282905,0.005541513077058088,0.047063805511672815,0.010018869580480963
6,0.056088292083552684,0.0035588906441986904,0.018116991398981933,0.002520624890293142
7,0.0020480077233631247,0.0012673336843952814,0.002225732841846584,0.0020374758644900884
8,0.009158767772511792,0.0015512550465157,0.007270932069510276,0.00017772511848342202
9,0.0014696331402492047,8.776549060784955e-07,0.0005805687203791561,6.889591012814907e-05
10,0.0025263296471826607,9.434790240476776e-05,0.0007512725996138429,8.864314551519185e-05
11,0.004790679304897261,0.0014784096893101506,0.0019159206599965062,0.0009123222748815274
12,0.013654993856415616,0.0010211514832367818,0.0030371248025276502,0.0018242057223099924
13,0.04754695453747582,0.023041074249605047,0.015234772687379338,0.007853694927154651
14,-0.0016618395646832208,3.1156749166220506e-05,-0.00042171318237667804,0.00013208706336669633
15,0.004657714586624488,-0.00026636826399860277,-0.0025346673687905736,-0.0021011058451816667
16,0.0428133228014744,0.0009562050201860479,0.027192820782868183,0.0003940670528348326
17,0.014469896436721027,0.001930840793400022,0.015159733192908557,0.004178515007898894
18,0.0013888888888888321,-0.0001983500087765544,0.007313059505002654,-0.00033350886431453747
19,0.00903633491311211,-0.00033833596629806266,0.00540679304897315,0.0009443566789538449
20,0.01709101281376157,0.008710286115499377,0.01965113217482887,0.008583026154116208
21,0.05213401790416003,0.0047301211163770325,0.06039362822538181,0.004605494119712135
22,0.04690933824820074,0.00644944707740915,0.058049411971212925,0.011547305599438309
23,0.0324859575215025,0.00649420747761979,0.034451465683693186,0.004473845883798503
