frames,  XGB 4,XGB 4/2,  XGB 2,   RF 4, RF 4/2,   RF 2
1,0.39010242221251396,0.7754963351293627,0.7955681763021213,0.37851317897189457,0.7564438619484491,0.7860055337119557
10,0.4589303118908382,0.8172149122807018,0.8273513645224172,0.4584673489278752,0.8126583820662768,0.8316885964912281
20,0.46648311306901613,0.8245472344591287,0.8351321585903083,0.4646720509055311,0.8241678903573176,0.8380812530592266
40,0.5023703703703704,0.8622098765432099,0.8639382716049383,0.4852962962962963,0.8547283950617284,0.8587160493827161
80,0.535972850678733,0.8807566616390146,0.8812217194570136,0.5167797888386124,0.8698215183509301,0.8745098039215686
160,0.5619848721961398,0.8855503390714659,0.8846635367762128,0.5401930099113198,0.8745174752217005,0.8806859676577986
320,0.5258037225042301,0.8842216582064297,0.8933305132543711,0.5178510998307952,0.8701776649746192,0.8742526790750141
640,0.5082996632996633,0.8797138047138047,0.8896801346801346,0.4855218855218855,0.8711784511784512,0.8723400673400673
1280,0.4544829482948295,0.8683993399339934,0.859075907590759,0.4767876787678768,0.8858360836083609,0.8869086908690869
