frames,XGB 4,XGB 2,RF 4,RF 2
0,0.003493980737403035,0.0008764741942286491,0.0037117188533415035,0.0015173784417490416
1,0.001659367815591395,0.0,0.0019527648807785767,0.000206466004997625
2,0.0015327108558267355,0.00016003449854906648,0.002647777187603584,7.98691757403543e-05
3,0.0011994888773187995,0.0003681833914015442,0.003907096879568927,0.002209959926539633
4,0.005779915954917669,0.0013927528634667397,0.008597199694547723,0.004663004188315229
5,0.010541627183556557,0.001820766949094832,0.0655505901425669,0.06049630136229909
6,0.0042266277596354485,0.0,0.0038954161679609412,0.0019537029735369566
7,0.011110239662230015,0.006450827699154615,0.005097636384338398,0.003937041192625593
8,0.11582949757575989,0.0017168315825983882,0.04682189141327546,0.036104208739838106
9,0.0024170910473912954,0.0,0.00461849340889057,0.0019622789144747017
10,0.004089653491973877,0.0006891013472341001,0.01806262025241323,0.052181861532954364
11,0.007202820852398872,0.009827838279306889,0.018312526195382876,0.008453436468356229
12,0.005360380746424198,0.0004317459824960679,0.022475427453817004,0.006455379089036183
13,0.0034391083754599094,0.0194507148116827,0.00657176823731647,0.0014020335776548515
14,0.006399849895387888,0.0,0.007728195266012549,0.013145863515466198
15,0.0028752158395946026,0.0016386477509513497,0.005458210191950202,0.0010368025726401494
16,0.008818821050226688,0.0,0.0113185912204116,0.00473374978071516
17,0.002430409425869584,0.0012972383992746472,0.0025728030846864703,0.0031445989342915905
18,0.0006773941568098962,5.602405144600198e-05,0.002188815346366427,0.00037426779740635694
19,0.0028419431764632463,0.0001139967716881074,0.0076171148315597485,0.0012753553725279774
20,0.00021644476510118693,0.0,0.0007860806338871125,3.57252924468758e-05
21,0.0005384854157455266,0.0,0.000605115399747301,4.216790465903083e-05
22,0.003664689138531685,8.497248927596956e-05,0.0030899294246223125,0.0001236741236780044
23,0.09069141745567322,0.003059565555304289,0.04215029408791399,0.06659672802015035
24,0.07056641578674316,0.687577486038208,0.043144090088232494,0.09531637023644583
25,0.003583352779969573,0.00015955416893120855,0.004030435261460321,0.0021788088481596193
26,0.036781542003154755,0.013396256603300571,0.07400817759837333,0.06890261067550618
27,0.0019253185018897057,0.00014117984392214566,0.021692396480068085,0.05756005949438588
28,0.003974137827754021,0.0,0.0043293368971656886,0.0005848727155943595
29,0.0029026183765381575,0.0,0.017618761032821267,0.002915133075383306
30,0.011167358607053757,0.0027323898393660784,0.04318895682390575,0.005270934982824733
31,0.027199165895581245,0.03574252873659134,0.011481485454207368,0.02099859905929105
32,0.2372393012046814,0.18465594947338104,0.03544935668614464,0.0871849898490987
33,0.0033217049203813076,6.722745456499979e-05,0.0419102937346919,0.11933244661640727
34,0.006701826583594084,0.007548129186034203,0.003832625463822517,0.0012845179049909162
35,0.01982859894633293,0.00010069111158372834,0.020266671214005275,0.018453464321206058
36,0.008466792292892933,0.0,0.022714693959402732,0.03353242273000662
37,0.006692493334412575,0.0,0.008354468671018347,0.001826970399816368
38,0.0031218386720865965,0.0,0.03899071375754018,0.009399290722127831
39,0.044214874505996704,0.0015063846949487925,0.07016067192200862,0.04567149379264562
40,0.013480721041560173,4.5989665522938594e-05,0.023086089826419208,0.022560950276626843
41,0.00614225585013628,0.0018279041396453977,0.005766439701056647,0.0005376607566131282
42,0.006372769363224506,0.0001233580696862191,0.008608518995226178,0.001559327095833449
43,0.0019594847690314054,0.0009921552846208215,0.0025947738508399166,0.00012313900400919402
44,0.03671273961663246,0.0020359857007861137,0.011116200247563084,0.007812685769852218
45,0.000908582704141736,0.0,0.004984015918359396,0.0031349736939968124
46,0.005096761044114828,0.0,0.0043908255724320715,0.023961479595835597
47,0.003957667388021946,0.0,0.004732353770428337,0.0003345442759497953
48,0.0020086844451725483,0.00010394299897598103,0.003765204496760072,0.000630144188275137
49,0.0,0.0,0.01177057181072949,0.024061560868301045
50,0.0009266715496778488,0.00033493555383756757,0.004823226895927699,0.0003259984235036225
51,0.0024933996610343456,0.0,0.0037740504279354255,0.00015890769453675075
52,0.011556227691471577,0.0,0.007384754394172479,0.001086830388086623
53,0.013168037869036198,0.0,0.01860238526979179,0.00043658711256566317
54,0.0038965006824582815,5.421411697170697e-05,0.006797144795580783,6.777736429725064e-05
55,0.002041205996647477,8.348214760189876e-05,0.00356550298819145,0.0012166752294979163
56,0.002347620902583003,0.0,0.0025252875427981053,0.0004451265689405651
57,0.002731428947299719,0.0006260959198698401,0.00399715400439408,0.0009284769610382695
58,0.004387200344353914,0.0,0.0032642485937276326,0.00017391682818706817
59,0.0032681762240827084,0.0,0.003051091242698255,0.0001692072339465189
60,0.00874639768153429,0.0045288437977433205,0.006104737690276704,0.0007952907981605144
